1550799,1
1397854,5
1615081,1
1609373,8
1424598,1
1206205,6
111021,0
747451,7
43969,1
227076,10
1020111,1
1380841,3
1457433,3
1110558,1
1306476,10
420903,7
1292044,1
69031,9
504126,1
270859,3
475732,8
1588945,5
1177841,4
1186304,6
1082876,3
633786,4
674593,9
1302956,6
50934,1
826239,10
1469079,6
1642436,8
166852,1
759014,1
157070,8
1439639,8
127305,1
1086905,8
1219927,3
1118752,1
237085,4
891725,1
1481335,10
117182,7
988302,6
1460157,5
1624800,1
707365,7
1264767,4
575368,1
1092563,5
1562043,1
1039560,5
1546504,4
394869,10
758084,10
68521,9
1429449,1
1128881,7
1437937,1
562822,1
358637,8
1665983,10
56063,1
1564822,3
165173,6
192064,6
868733,9
483103,9
1309166,8
132206,1
526037,6
156063,8
1140658,1
1162661,5
951011,10
1137500,10
406268,3
453761,3
1270948,7
581097,1
441305,0
1235769,3
821005,5
500520,5
1067585,6
671954,8
1544549,1
419070,6
1003190,1
1475637,1
750721,8
7506,3
346977,6
714246,1
294908,6
1465997,1
1093757,6
692031,6
450850,10
1575374,1
1056477,9
858637,9
605445,8
1231268,6
1302729,9
1068418,3
1093457,10
1182739,1
1320316,3
819272,1
1141772,4
199799,0
1555012,4
1628552,3
510650,4
469234,6
247752,5
770392,3
1488164,1
941819,8
1458993,5
694804,1
272678,9
911458,1
1303138,1
1186606,3
1595,1
74371,10
894802,6
1577943,1
675638,10
1588683,1
154862,8
1512621,1
829897,6
1126383,1
247142,3
1092606,3
1154242,1
1094051,3
1383642,8
15573,0
1606106,1
351636,7
1412590,8
956682,0
51010,10
16180,10
12454,3
1457914,1
889846,6
1627469,4
1240484,9
1448374,1
267425,1
900887,3
91208,1
818878,8
545892,1
31422,1
246291,3
20609,1
492136,2
1364274,6
390233,5
1196433,10
378304,8
165677,8
1438200,1
629841,8
1657913,0
1046401,8
751770,1
1035341,5
932373,1
1424378,6
422801,1
509359,1
1074087,6
472706,1
880242,1
1616101,1
311579,1
232413,6
1257311,3
1205467,1
1406482,2
209367,3
997710,9
